Modelo,Acurácia,Parâmetros
Random Forest,0.7661518661518661,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 23, 'max_features': 31, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 38, 'n_jobs': 16, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}"
SVM,0.7661840411840413,"{'C': 0.001, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 13, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
MLP,0.7086389961389961,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (414,), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'max_fun': 15000, 'max_iter': 1421, 'momentum': 0.5444444444444445, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 13, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
XGBoost,0.7661357786357786,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6666666666666666, 'device': 'cuda', 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.6666666666666666, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.2223, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 1, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 42, 'n_jobs': 16, 'num_parallel_tree': None, 'random_state': 13, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7000000000000001, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
KNN,0.7661357786357785,"{'algorithm': 'brute', 'leaf_size': 73, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': 16, 'n_neighbors': 15, 'p': 3, 'weights': 'uniform'}"
ADA,0.75,"{'algorithm': 'SAMME', 'base_estimator': 'deprecated', 'estimator': None, 'learning_rate': 0.2765862068965517, 'n_estimators': 50, 'random_state': 13}"
NVB,0.7661518661518661,"{'priors': None, 'var_smoothing': 0.8474576272101696}"
LR,0.7392213642213641,"{'C': 0.2008, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6666666666666666, 'max_iter': 2000, 'multi_class': 'auto', 'n_jobs': 16, 'penalty': 'l1', 'random_state': 13, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
DT,0.7301640926640927,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 23, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.06157894736842105, 'min_samples_split': 0.11421052631578947, 'min_weight_fraction_leaf': 0.0, 'random_state': 13, 'splitter': 'best'}"
EXT,0.7625804375804377,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 25, 'max_features': 17, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 39, 'n_jobs': 16, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}"
