feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(54,)",[0.75       0.71942446 0.69784173 0.69064748 0.72661871],0.7169064748201439,"('4',)",0.027258159399206557,0.02120777406184701,0.010603887030923504
"(54, 57)",[0.74285714 0.76258993 0.72661871 0.72661871 0.73381295],0.7384994861253854,"('4', '6')",0.017278518255079537,0.013443274210506388,0.006721637105253194
"(54, 57, 74)",[0.7        0.78417266 0.72661871 0.75539568 0.76258993],0.7457553956834533,"('4', '6', '6.4')",0.03774465122069748,0.029366620959560122,0.014683310479780061
"(53, 54, 57, 74)",[0.7        0.77697842 0.72661871 0.75539568 0.79136691],0.7500719424460432,"('AB_4.0', '4', '6', '6.4')",0.042685703109482595,0.033210927192807375,0.01660546359640369
"(41, 53, 54, 57, 74)",[0.71428571 0.76978417 0.74100719 0.76258993 0.79856115],0.757245632065776,"('J_2.0', 'AB_4.0', '4', '6', '6.4')",0.03636255882279437,0.028291306119770213,0.014145653059885108
"(41, 42, 53, 54, 57, 74)",[0.70714286 0.76258993 0.73381295 0.77697842 0.79856115],0.7558170606372046,"('J_2.0', 'J_3.0', 'AB_4.0', '4', '6', '6.4')",0.04134599693660806,0.03216859027608907,0.01608429513804454
"(35, 41, 49, 53, 54, 57, 74)",[0.71428571 0.76258993 0.74820144 0.76978417 0.8057554 ],0.7601233299075025,"('E_4.0', 'J_2.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.03823570866651806,0.029748680335243933,0.014874340167621966
"(35, 41, 42, 49, 53, 54, 57, 74)",[0.71428571 0.76258993 0.74100719 0.75539568 0.8057554 ],0.7558067831449127,"('E_4.0', 'J_2.0', 'J_3.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.03849042214218942,0.029946856072770183,0.014973428036385093
"(34, 35, 41, 42, 49, 53, 54, 57, 74)",[0.71428571 0.76978417 0.74820144 0.76978417 0.79136691],0.7586844809866393,"('E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.03349504582392597,0.026060283587809364,0.01303014179390468
"(30, 34, 35, 37, 41, 49, 53, 54, 57, 74)",[0.7        0.76978417 0.75539568 0.76978417 0.79136691],0.7572661870503596,"('D_4.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_2.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.03965356393109624,0.03085181990028916,0.01542590995014458
"(30, 35, 37, 41, 42, 43, 49, 53, 54, 57, 74)",[0.72142857 0.76978417 0.75539568 0.76978417 0.77697842],0.7586742034943474,"('D_4.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.025576274412054168,0.01989921040268158,0.009949605201340788
"(30, 31, 33, 37, 41, 42, 43, 49, 53, 54, 57, 74)",[0.7        0.75539568 0.76978417 0.76258993 0.8057554 ],0.7587050359712231,"('D_4.0', 'D_5.0', 'E_2.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.043808661835678116,0.034084627232386255,0.017042313616193128
"(30, 31, 33, 34, 37, 41, 42, 43, 49, 53, 54, 57, 74)",[0.67857143 0.74820144 0.76258993 0.78417266 0.8057554 ],0.7558581706063721,"('D_4.0', 'D_5.0', 'E_2.0', 'E_3.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.05563580670598567,0.04328654774846911,0.021643273874234554
"(30, 31, 32, 33, 34, 37, 41, 42, 43, 49, 53, 54, 57, 74)",[0.67857143 0.75539568 0.74820144 0.79136691 0.79856115],0.7544193216855086,"('D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.05485088995634134,0.04267585585104405,0.021337927925522023
"(30, 31, 32, 33, 34, 37, 41, 42, 43, 46, 49, 53, 54, 57, 74)",[0.68571429 0.74820144 0.74820144 0.78417266 0.79856115],0.7529701952723535,"('D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.05017894468241392,0.039040923706592255,0.019520461853296128
"(30, 31, 32, 33, 34, 35, 37, 41, 42, 43, 46, 49, 53, 54, 57, 74)",[0.68571429 0.74100719 0.74820144 0.76978417 0.79856115],0.7486536485097636,"('D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.04794425946843868,0.037302262690518055,0.018651131345259024
"(22, 30, 31, 32, 33, 34, 35, 37, 41, 42, 43, 46, 49, 53, 54, 57, 74)",[0.65       0.72661871 0.74820144 0.77697842 0.79856115],0.7400719424460431,"('AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_4.0', '4', '6', '6.4')",0.06589697577253595,0.05127008588788384,0.02563504294394192
"(22, 30, 31, 32, 33, 34, 35, 37, 41, 42, 43, 46, 49, 51, 53, 54, 57, 74)",[0.66428571 0.72661871 0.71942446 0.75539568 0.79136691],0.7314182939362796,"('AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_2.0', 'AB_4.0', '4', '6', '6.4')",0.05405079332768772,0.04205335349203937,0.021026676746019685
"(22, 30, 31, 32, 33, 35, 37, 41, 42, 43, 46, 49, 50, 51, 52, 53, 54, 57, 74)",[0.69285714 0.71942446 0.74100719 0.75539568 0.76978417],0.7356937307297019,"('AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '6', '6.4')",0.03486063679126575,0.027122759754013164,0.013561379877006582
"(7, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 49, 50, 51, 52, 53, 54, 57, 74)",[0.73571429 0.74820144 0.73381295 0.72661871 0.70503597],0.7298766700924975,"('O', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '6', '6.4')",0.01829492194548633,0.014234070812216856,0.007117035406108428
"(7, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 49, 50, 51, 52, 53, 54, 55, 57, 74)",[0.70714286 0.73381295 0.69784173 0.78417266 0.73381295],0.7313566289825283,"('O', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '6.4')",0.03860649270474308,0.030037162913735437,0.015018581456867717
"(1, 7, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 49, 50, 51, 52, 53, 54, 55, 57, 74)",[0.71428571 0.77697842 0.69064748 0.72661871 0.76258993],0.7342240493319631,"('C', 'O', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '6.4')",0.04059100420087311,0.03158118027810262,0.01579059013905131
"(1, 7, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 49, 50, 51, 52, 53, 54, 55, 57, 66, 74)",[0.73571429 0.73381295 0.70503597 0.77697842 0.79856115],0.7500205549845838,"('C', 'O', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '5.5', '6.4')",0.042913646089824745,0.033388274575485793,0.016694137287742897
"(1, 7, 11, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 47, 50, 51, 52, 53, 54, 55, 57, 66, 74)",[0.74285714 0.78417266 0.76258993 0.78417266 0.76258993],0.7672764645426516,"('C', 'O', 'AE', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '5.5', '6.4')",0.020004292695500067,0.015564019328670119,0.007782009664335059
"(1, 7, 11, 18, 22, 30, 32, 33, 34, 35, 41, 42, 43, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 66, 74)",[0.75       0.78417266 0.75539568 0.77697842 0.76978417],0.7672661870503598,"('C', 'O', 'AE', 'AU', 'AY', 'D_4.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '5.5', '6.4')",0.016515129374071836,0.012849331726253075,0.006424665863126538
"(1, 7, 11, 18, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 66, 74)",[0.69285714 0.76258993 0.74100719 0.79136691 0.79856115],0.7572764645426515,"('C', 'O', 'AE', 'AU', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '5.5', '6.4')",0.04914235368976278,0.03823442069790668,0.01911721034895334
"(1, 7, 11, 18, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 60, 66, 74)",[0.72857143 0.79136691 0.74100719 0.76978417 0.74100719],0.7543473792394655,"('C', 'O', 'AE', 'AU', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '4.5', '5.5', '6.4')",0.029472484142053727,0.02293059393967145,0.011465296969835725
"(0, 7, 11, 18, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 60, 66, 74, 90)",[0.76428571 0.78417266 0.75539568 0.78417266 0.76258993],0.7701233299075027,"('B', 'O', 'AE', 'AU', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '4.5', '5.5', '6.4', '5.14')",0.015234909808156423,0.011853277410704527,0.005926638705352263
"(0, 7, 11, 13, 18, 22, 30, 31, 32, 33, 34, 35, 41, 42, 43, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 60, 66, 74, 90)",[0.76428571 0.76258993 0.77697842 0.75539568 0.82733813],0.7773175745118192,"('B', 'O', 'AE', 'AO', 'AU', 'AY', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '6', '4.5', '5.5', '6.4', '5.14')",0.03336548486766399,0.02595948076222603,0.012979740381113014
