feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.74285714 0.77697842 0.70503597 0.74820144 0.75539568],0.745693730729702,"('B', 'C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.03008924916161718,0.023410458078426656,0.011705229039213328
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.73571429 0.76258993 0.74100719 0.76258993 0.77697842],0.755775950668037,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.019602197042807374,0.015251175250364311,0.007625587625182155
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.73571429 0.79136691 0.72661871 0.76978417 0.76258993],0.7572147995889004,"('B', 'C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.03015173413033953,0.0234590735069124,0.0117295367534562
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.72857143 0.75539568 0.71223022 0.78417266 0.79856115],0.7557862281603288,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.04174092906194654,0.03247586088674474,0.01623793044337237
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.72857143 0.74820144 0.74100719 0.76258993 0.77697842],0.751469681397739,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.021651186339163485,0.016845358533830183,0.008422679266915091
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.73571429 0.75539568 0.74820144 0.74820144 0.79136691],0.755775950668037,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.024278581366352435,0.018889561126227736,0.009444780563113866
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.71428571 0.76978417 0.75539568 0.75539568 0.77697842],0.7543679342240494,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.6', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.027909412307409735,0.02171447094963085,0.010857235474815423
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.74285714 0.75539568 0.71942446 0.77697842 0.76978417],0.7528879753340185,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.026293822470276777,0.020457487169444673,0.010228743584722337
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.74285714 0.75539568 0.72661871 0.77697842 0.79136691],0.7586433710174718,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AR', 'AS', 'AT', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.7', '6.2', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.02982503880555507,0.02320489344531616,0.011602446722658078
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91)",[0.72142857 0.76978417 0.75539568 0.73381295 0.78417266],0.7529188078108942,"('C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AR', 'AS', 'AT', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_4.0', '4', '4.1', '4.2', '6', '4.3', '4.4', '4.5', '5.2', '5.3', '3.1', '5.4', '6.1', '5.5', '5.7', '6.3', '5.8', '5.9', '4.6', '6.4', '4.7', '2', '3.2', '5.10', '4.8', '5.11', '5.12', '5.13', '4.9', '4.10', '4.11', '2.1', '4.12', '4.13', '4.14', '5.14', '6.5')",0.029444371907801966,0.022908721666358586,0.011454360833179293
