feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(54,)",[0.74285714 0.67625899 0.66906475 0.71942446 0.74820144],0.7111613566289826,"('171',)",0.04237629255837661,0.032970195272353564,0.016485097636176782
"(52, 54)",[0.73571429 0.71223022 0.69784173 0.73381295 0.76258993],0.7284378211716341,"('AB_3.0', '171')",0.02843377739385358,0.022122444801289578,0.011061222400644789
"(38, 52, 54)",[0.74285714 0.69064748 0.73381295 0.76978417 0.76978417],0.741377183967112,"('I_3.0', 'AB_3.0', '171')",0.03745834614315398,0.02914386588250679,0.014571932941253396
"(35, 38, 52, 54)",[0.74285714 0.69064748 0.74100719 0.76978417 0.76978417],0.7428160328879754,"('E_4.0', 'I_3.0', 'AB_3.0', '171')",0.03715976952570891,0.0289115631305055,0.01445578156525275
"(35, 38, 42, 52, 54)",[0.74285714 0.69064748 0.74100719 0.76978417 0.76978417],0.7428160328879754,"('E_4.0', 'I_3.0', 'J_3.0', 'AB_3.0', '171')",0.03715976952570891,0.0289115631305055,0.01445578156525275
"(35, 38, 42, 49, 52, 54)",[0.74285714 0.69064748 0.74100719 0.76978417 0.76978417],0.7428160328879754,"('E_4.0', 'I_3.0', 'J_3.0', 'AB_0.0', 'AB_3.0', '171')",0.03715976952570891,0.0289115631305055,0.01445578156525275
"(35, 38, 42, 43, 49, 52, 54)",[0.73571429 0.70503597 0.73381295 0.76978417 0.76258993],0.7413874614594039,"('E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.029683858686163415,0.023095050516076777,0.011547525258038389
"(31, 35, 38, 42, 43, 49, 52, 54)",[0.73571429 0.70503597 0.73381295 0.75539568 0.76978417],0.7399486125385406,"('D_5.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.028178320462510262,0.021923690629992904,0.010961845314996454
"(22, 31, 35, 38, 42, 43, 49, 52, 54)",[0.73571429 0.71223022 0.74100719 0.71942446 0.76258993],0.7341932168550873,"('AY', 'D_5.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.022670773752234363,0.01763863217993483,0.008819316089967416
"(19, 22, 31, 35, 38, 42, 43, 49, 52, 54)",[0.73571429 0.76978417 0.69784173 0.73381295 0.73381295],0.7341932168550873,"('AV', 'AY', 'D_5.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.029256958539025404,0.02276290769840231,0.011381453849201155
"(19, 22, 31, 33, 35, 38, 42, 43, 49, 52, 54)",[0.72857143 0.77697842 0.69784173 0.74100719 0.71942446],0.732764645426516,"('AV', 'AY', 'D_5.0', 'E_2.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.033702823331655085,0.026221941547707454,0.013110970773853727
"(19, 22, 31, 32, 34, 35, 38, 42, 43, 49, 52, 54)",[0.72857143 0.77697842 0.69064748 0.73381295 0.70503597],0.7270092497430627,"('AV', 'AY', 'D_5.0', 'E_1.0', 'E_3.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.0379134746427453,0.029497971317399844,0.01474898565869992
"(19, 22, 31, 32, 33, 34, 35, 38, 42, 43, 49, 52, 54)",[0.72142857 0.77697842 0.69064748 0.73381295 0.70503597],0.7255806783144914,"('AV', 'AY', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AB_0.0', 'AB_3.0', '171')",0.03799399543164745,0.029560619226721565,0.014780309613360782
"(19, 22, 23, 31, 32, 33, 34, 35, 39, 42, 45, 49, 52, 54)",[0.75       0.76258993 0.72661871 0.73381295 0.69784173],0.7341726618705036,"('AV', 'AY', 'AZ', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_4.0', 'J_3.0', 'AA_1.0', 'AB_0.0', 'AB_3.0', '171')",0.028364912640616746,0.022068865683709315,0.011034432841854657
"(19, 22, 23, 31, 32, 33, 34, 35, 39, 42, 43, 45, 49, 52, 54)",[0.75       0.76258993 0.72661871 0.73381295 0.68345324],0.7312949640287769,"('AV', 'AY', 'AZ', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AB_0.0', 'AB_3.0', '171')",0.03470900269976144,0.027004783279314347,0.013502391639657173
"(19, 23, 28, 32, 33, 34, 35, 38, 39, 42, 43, 45, 46, 49, 52, 54)",[0.77142857 0.77697842 0.68345324 0.69784173 0.71942446],0.729825282631038,"('AV', 'AZ', 'D_2.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_3.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_3.0', '171')",0.048894275097510695,0.038041407125089424,0.01902070356254471
