feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(26,)",[0.66428571 0.66428571 0.6618705  0.66906475 0.6618705 ],0.6642754367934224,"('BP',)",0.0033764336721987353,0.0026269801055198005,0.0013134900527599002
"(26, 28)",[0.66428571 0.67142857 0.66906475 0.66906475 0.6618705 ],0.667142857142857,"('BP', 'D_2.0')",0.004515585884083132,0.0035132792271105554,0.0017566396135552777
"(23, 26, 44)",[0.69285714 0.65       0.69064748 0.69064748 0.65467626],0.6757656731757452,"('AZ', 'BP', 'J_5.0')",0.024680852927761756,0.019202542067491276,0.009601271033745636
"(23, 26, 36, 44)",[0.70714286 0.65       0.69064748 0.71223022 0.64748201],0.6815005138746146,"('AZ', 'BP', 'I_1.0', 'J_5.0')",0.03559607134102043,0.027694952818851117,0.013847476409425557
"(23, 26, 35, 36, 44)",[0.70714286 0.65       0.69064748 0.71223022 0.64748201],0.6815005138746146,"('AZ', 'BP', 'E_4.0', 'I_1.0', 'J_5.0')",0.03559607134102043,0.027694952818851117,0.013847476409425557
"(23, 26, 35, 36, 40, 44)",[0.71428571 0.64285714 0.69064748 0.71223022 0.64748201],0.6815005138746146,"('AZ', 'BP', 'E_4.0', 'I_1.0', 'J_1.0', 'J_5.0')",0.03962958314523416,0.03083316203418235,0.015416581017091174
"(23, 26, 35, 36, 40, 42, 44)",[0.71428571 0.64285714 0.69064748 0.71223022 0.64748201],0.6815005138746146,"('AZ', 'BP', 'E_4.0', 'I_1.0', 'J_1.0', 'J_3.0', 'J_5.0')",0.03962958314523416,0.03083316203418235,0.015416581017091174
"(23, 26, 35, 36, 40, 42, 44, 49)",[0.71428571 0.64285714 0.69064748 0.71223022 0.64748201],0.6815005138746146,"('AZ', 'BP', 'E_4.0', 'I_1.0', 'J_1.0', 'J_3.0', 'J_5.0', 'AB_0.0')",0.03962958314523416,0.03083316203418235,0.015416581017091174
"(23, 26, 31, 35, 36, 40, 42, 44, 49)",[0.71428571 0.65       0.69064748 0.71223022 0.63309353],0.6800513874614594,"('AZ', 'BP', 'D_5.0', 'E_4.0', 'I_1.0', 'J_1.0', 'J_3.0', 'J_5.0', 'AB_0.0')",0.04234782972293564,0.03294805021940442,0.01647402510970221
"(23, 26, 31, 34, 35, 36, 40, 42, 44, 49)",[0.70714286 0.65       0.69784173 0.69784173 0.63309353],0.6771839671120248,"('AZ', 'BP', 'D_5.0', 'E_3.0', 'E_4.0', 'I_1.0', 'J_1.0', 'J_3.0', 'J_5.0', 'AB_0.0')",0.03827473039588464,0.029779040566387527,0.014889520283193762
"(23, 26, 31, 32, 35, 37, 41, 42, 44, 45, 48)",[0.75       0.65714286 0.69064748 0.68345324 0.64748201],0.6857451181911614,"('AZ', 'BP', 'D_5.0', 'E_1.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_5.0', 'AA_1.0', 'AA_4.0')",0.04612790808292127,0.03588907960515912,0.017944539802579564
"(23, 26, 31, 32, 35, 37, 41, 42, 44, 45, 48, 49)",[0.75       0.66428571 0.69064748 0.68345324 0.64748201],0.6871736896197327,"('AZ', 'BP', 'D_5.0', 'E_1.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_5.0', 'AA_1.0', 'AA_4.0', 'AB_0.0')",0.04479139371661227,0.03484922602238497,0.017424613011192486
"(23, 26, 31, 32, 33, 34, 35, 37, 41, 42, 44, 47, 48)",[0.74285714 0.67857143 0.69784173 0.69784173 0.61870504],0.6871634121274409,"('AZ', 'BP', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_2.0', 'J_3.0', 'J_5.0', 'AA_3.0', 'AA_4.0')",0.05170070821577682,0.04022490743485741,0.020112453717428702
"(23, 26, 31, 32, 33, 34, 35, 37, 40, 41, 42, 44, 47, 48)",[0.74285714 0.68571429 0.69784173 0.69784173 0.62589928],0.6900308324768757,"('AZ', 'BP', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_2.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_5.0', 'AA_3.0', 'AA_4.0')",0.04824252691779446,0.037534324899242424,0.01876716244962121
