feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(81,)",[-0.04601397 -0.04837988 -0.03330967 -0.0397206  -0.03461723],-0.04040827006153071,"('CS',)",0.007698229156392468,0.0059894838178195875,0.0029947419089097938
"(79, 81)",[-0.04326174 -0.0426522  -0.03327669 -0.03382158 -0.03378145],-0.03735873257438256,"('CQ', 'CS')",0.0058853903725133135,0.004579033655869851,0.0022895168279349256
"(79, 81, 82)",[-0.04239244 -0.03799456 -0.034297   -0.03419516 -0.03079433],-0.03593469612795115,"('CQ', 'CS', 'CT')",0.005078992154659062,0.00395162844638139,0.001975814223190695
"(79, 80, 81, 82)",[-0.04091793 -0.03569472 -0.03151873 -0.03543453 -0.02880642],-0.034474464007188295,"('CQ', 'CR', 'CS', 'CT')",0.005292906058412345,0.004118060730859827,0.0020590303654299136
"(23, 79, 80, 81, 82)",[-0.03966691 -0.03480292 -0.03176638 -0.03463446 -0.02739117],-0.033652366941824774,"('AZ', 'CQ', 'CR', 'CS', 'CT')",0.005180299058081864,0.004030448658972807,0.002015224329486403
"(23, 72, 79, 80, 81, 82)",[-0.0392506  -0.03436123 -0.03162438 -0.03385158 -0.0273007 ],-0.03327769630542664,"('AZ', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.004999001170359375,0.0038893927430395914,0.0019446963715197955
"(23, 72, 79, 80, 81, 82, 83)",[-0.03712963 -0.03517513 -0.03025866 -0.03316666 -0.02871608],-0.03288923228493667,"('AZ', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.0039664681346874425,0.003086046962745975,0.0015430234813729872
"(23, 40, 72, 79, 80, 81, 82, 83)",[-0.0370385  -0.03485533 -0.03005293 -0.03301487 -0.02868424],-0.03272917334478338,"('AZ', 'J_1.0', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.003927873598499125,0.0030560191024082205,0.0015280095512041102
"(23, 40, 46, 72, 79, 80, 81, 82, 83)",[-0.03683336 -0.03455432 -0.02962165 -0.03278305 -0.02853414],-0.03246530135360936,"('AZ', 'J_1.0', 'AA_2.0', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.003944199073583344,0.0030687208766537882,0.0015343604383268941
"(23, 40, 45, 46, 72, 79, 80, 81, 82, 83)",[-0.03661915 -0.03438889 -0.02934731 -0.03251751 -0.02829229],-0.03223303165626035,"('AZ', 'J_1.0', 'AA_1.0', 'AA_2.0', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.0039750000680159065,0.0030926850967333366,0.001546342548366668
"(23, 40, 45, 46, 66, 72, 79, 80, 81, 82, 83)",[-0.03558928 -0.0366318  -0.02883638 -0.03153366 -0.0278787 ],-0.03209396560565667,"('AZ', 'J_1.0', 'AA_1.0', 'AA_2.0', 'CD', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.004507816733105885,0.003507234563706664,0.0017536172818533318
"(13, 23, 40, 45, 46, 66, 72, 79, 80, 81, 82, 83)",[-0.03507793 -0.03640225 -0.02881871 -0.03040271 -0.02783296],-0.03170691151274614,"('AO', 'AZ', 'J_1.0', 'AA_1.0', 'AA_2.0', 'CD', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.004394872619782695,0.003419360206458478,0.001709680103229239
"(13, 23, 40, 45, 46, 64, 66, 72, 79, 80, 81, 82, 83)",[-0.03487973 -0.03623013 -0.02856462 -0.03012002 -0.0278644 ],-0.031531778694416104,"('AO', 'AZ', 'J_1.0', 'AA_1.0', 'AA_2.0', 'CB', 'CD', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.004359774377024973,0.0033920525811903064,0.0016960262905951532
"(13, 23, 40, 46, 57, 64, 66, 71, 72, 79, 80, 81, 82, 83)",[-0.03233633 -0.03625133 -0.02943867 -0.02975598 -0.02841491],-0.031239444313876142,"('AO', 'AZ', 'J_1.0', 'AA_2.0', 'BU', 'CB', 'CD', 'CI', 'CJ', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.00362367983345646,0.0028193460187430335,0.0014096730093715165
"(13, 23, 40, 46, 57, 64, 66, 71, 72, 75, 79, 80, 81, 82, 83)",[-0.0325295  -0.03632171 -0.02952944 -0.02950329 -0.02795057],-0.03116690351744076,"('AO', 'AZ', 'J_1.0', 'AA_2.0', 'BU', 'CB', 'CD', 'CI', 'CJ', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.0038224110321377035,0.0029739656428690304,0.0014869828214345152
"(13, 16, 23, 40, 46, 57, 64, 66, 71, 72, 75, 79, 80, 81, 82, 83)",[-0.03281804 -0.03613793 -0.0293156  -0.02934643 -0.02784164],-0.031091927324430467,"('AO', 'AS', 'AZ', 'J_1.0', 'AA_2.0', 'BU', 'CB', 'CD', 'CI', 'CJ', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.003864775453391406,0.0030069266018630404,0.0015034633009315202
"(8, 13, 16, 23, 40, 46, 51, 57, 64, 66, 71, 75, 79, 80, 81, 82, 83)",[-0.0328024  -0.03592637 -0.02942495 -0.02900361 -0.02746464],-0.030924392975861005,"('U', 'AO', 'AS', 'AZ', 'J_1.0', 'AA_2.0', 'AB_2.0', 'BU', 'CB', 'CD', 'CI', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.003917682904797288,0.0030480903964968317,0.0015240451982484159
