feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(81,)",[-0.03916375 -0.04462865 -0.0341568  -0.04568389 -0.0460864 ],-0.041943899457483384,"('CS',)",0.00593809488100034,0.0046200395540181355,0.0023100197770090677
"(79, 81)",[-0.03971812 -0.04004164 -0.03321672 -0.04123485 -0.04115318],-0.03907290008505614,"('CQ', 'CS')",0.0038408984633153476,0.0029883494924040376,0.0014941747462020188
"(79, 80, 81)",[-0.03452085 -0.03797485 -0.03007324 -0.03973772 -0.03805238],-0.036071807939834444,"('CQ', 'CR', 'CS')",0.004428996817250167,0.003445909991399316,0.001722954995699658
"(79, 80, 81, 82)",[-0.03086364 -0.0364866  -0.0297783  -0.03946574 -0.03766584],-0.03485202365534569,"('CQ', 'CR', 'CS', 'CT')",0.004928741217681354,0.003834728112894574,0.001917364056447287
"(72, 79, 80, 81, 82)",[-0.03042091 -0.03563612 -0.02946961 -0.03768332 -0.03704014],-0.034050022721803366,"('CJ', 'CQ', 'CR', 'CS', 'CT')",0.004407927577867718,0.0034295174073684606,0.00171475870368423
"(55, 72, 79, 80, 81, 82)",[-0.02906643 -0.03490792 -0.02892815 -0.03677377 -0.03676152],-0.03328756032810905,"('BS', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.004586525918607014,0.0035684729840362683,0.001784236492018134
"(55, 61, 72, 79, 80, 81, 82)",[-0.02917158 -0.03460013 -0.02828002 -0.03634399 -0.03574437],-0.032828015716212855,"('BS', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.004379859132704873,0.003407679203454432,0.0017038396017272158
"(23, 55, 61, 72, 79, 80, 81, 82)",[-0.02927767 -0.03341635 -0.02760449 -0.03489107 -0.03530454],-0.032098823569407256,"('AZ', 'BS', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.003980962558015812,0.003097324116518645,0.0015486620582593224
"(23, 55, 57, 61, 72, 79, 80, 81, 82)",[-0.02864915 -0.03320508 -0.02677484 -0.03481553 -0.03482137],-0.031653194808359465,"('AZ', 'BS', 'BU', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.004273227112605108,0.0033247158691766237,0.0016623579345883118
"(13, 23, 55, 57, 61, 72, 79, 80, 81, 82)",[-0.02820047 -0.03298389 -0.02626153 -0.03453084 -0.03441177],-0.03127769948619808,"('AO', 'AZ', 'BS', 'BU', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.0043755716871259655,0.003404343425135424,0.0017021717125677118
"(8, 13, 23, 55, 57, 61, 72, 79, 80, 81, 82)",[-0.02831641 -0.03271458 -0.02578879 -0.03436793 -0.03398871],-0.031035283758314512,"('U', 'AO', 'AZ', 'BS', 'BU', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.0043611830376004005,0.0033931485669748186,0.0016965742834874093
"(8, 13, 23, 27, 55, 57, 61, 72, 79, 80, 81, 82)",[-0.02766126 -0.03222668 -0.02582482 -0.0346838  -0.03399173],-0.03087765856703382,"('U', 'AO', 'AZ', 'D_1.0', 'BS', 'BU', 'BY', 'CJ', 'CQ', 'CR', 'CS', 'CT')",0.004521608886999697,0.0035179653280008483,0.001758982664000424
