feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(81,)",[0.74857143 0.73714286 0.77586207 0.82758621 0.77586207],0.7730049261083745,"('CS',)",0.04014770945098572,0.0312362819025106,0.015618140951255298
"(63, 81)",[0.78857143 0.73714286 0.78735632 0.84482759 0.75862069],0.7833037766830871,"('CA', 'CS')",0.04658868685872639,0.03624758114690497,0.018123790573452484
"(39, 63, 81)",[0.77714286 0.73714286 0.79310345 0.83908046 0.77011494],0.7833169129720854,"('I_4.0', 'CA', 'CS')",0.042820847004708354,0.03331607373457532,0.01665803686728766
"(39, 46, 63, 81)",[0.77714286 0.74285714 0.8045977  0.85057471 0.75287356],0.7856091954022989,"('I_4.0', 'AA_2.0', 'CA', 'CS')",0.04995177045941911,0.03886417444324729,0.019432087221623644
"(24, 39, 46, 63, 81)",[0.77142857 0.74285714 0.8045977  0.82758621 0.78735632],0.7867651888341542,"('BD', 'I_4.0', 'AA_2.0', 'CA', 'CS')",0.037019197876848806,0.028802193612011414,0.014401096806005705
"(24, 39, 43, 46, 63, 81)",[0.78857143 0.74857143 0.79885057 0.81034483 0.77011494],0.7832906403940887,"('BD', 'I_4.0', 'J_4.0', 'AA_2.0', 'CA', 'CS')",0.028047333278011333,0.021821778150387567,0.010910889075193783
"(24, 30, 39, 43, 46, 63, 81)",[0.79428571 0.73714286 0.8045977  0.8045977  0.74712644],0.7775500821018062,"('BD', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_2.0', 'CA', 'CS')",0.03769901251089649,0.029331112492837978,0.014665556246418989
"(24, 30, 39, 43, 45, 46, 63, 81)",[0.74285714 0.76       0.8045977  0.82183908 0.7816092 ],0.7821806239737275,"('BD', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CA', 'CS')",0.03686774182466272,0.028684355657950755,0.014342177828975377
"(23, 24, 30, 39, 43, 45, 46, 63, 81)",[0.75428571 0.77142857 0.7816092  0.81034483 0.79310345],0.7821543513957308,"('AZ', 'BD', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CA', 'CS')",0.024431254941506955,0.019008346354521092,0.009504173177260544
"(23, 24, 30, 37, 39, 43, 45, 46, 63, 81)",[0.77142857 0.76571429 0.79310345 0.79885057 0.79885057],0.7855894909688013,"('AZ', 'BD', 'D_4.0', 'I_2.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CA', 'CS')",0.018210605399697433,0.014168469675082911,0.007084234837541455
"(23, 24, 28, 30, 37, 39, 43, 45, 46, 63, 81)",[0.77142857 0.75428571 0.79310345 0.81034483 0.79310345],0.7844532019704433,"('AZ', 'BD', 'D_2.0', 'D_4.0', 'I_2.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CA', 'CS')",0.025053271662184292,0.019492296495160447,0.009746148247580222
"(23, 28, 30, 39, 43, 45, 46, 55, 61, 63, 70, 81)",[0.76       0.76       0.83908046 0.77586207 0.82758621],0.7925057471264367,"('AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BS', 'BY', 'CA', 'CH', 'CS')",0.04373806179549566,0.034029698002608896,0.017014849001304448
"(23, 28, 30, 39, 43, 45, 46, 55, 61, 63, 70, 73, 81)",[0.77142857 0.76571429 0.83908046 0.79310345 0.81609195],0.7970837438423646,"('AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BS', 'BY', 'CA', 'CH', 'CK', 'CS')",0.03535419116631451,0.02750676182546539,0.013753380912732694
"(23, 30, 39, 43, 45, 46, 49, 55, 61, 63, 70, 73, 78, 81)",[0.76571429 0.78285714 0.85057471 0.77586207 0.82183908],0.7993694581280788,"('AZ', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'BS', 'BY', 'CA', 'CH', 'CK', 'CP', 'CS')",0.04098762933160666,0.0318897681044726,0.0159448840522363
"(23, 28, 30, 39, 43, 45, 46, 49, 55, 61, 63, 70, 73, 78, 81)",[0.75428571 0.77714286 0.83908046 0.8045977  0.81609195],0.79823973727422,"('AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'BS', 'BY', 'CA', 'CH', 'CK', 'CP', 'CS')",0.03814575613346307,0.029678694208543948,0.014839347104271976
"(23, 28, 30, 39, 43, 45, 46, 55, 59, 61, 63, 66, 70, 73, 78, 81)",[0.76       0.79428571 0.86206897 0.81034483 0.82758621],0.8108571428571428,"('AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CP', 'CS')",0.04363874440921628,0.0339524257019455,0.01697621285097275
"(23, 28, 30, 39, 43, 45, 46, 54, 55, 59, 61, 63, 66, 70, 73, 78, 81)",[0.76571429 0.78857143 0.85632184 0.82183908 0.82758621],0.8120065681444991,"('AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CP', 'CS')",0.04062588010642427,0.03160831491747056,0.015804157458735278
"(23, 25, 28, 30, 39, 43, 45, 46, 54, 55, 59, 61, 63, 66, 70, 73, 78, 81)",[0.77142857 0.77714286 0.86206897 0.81034483 0.82758621],0.8097142857142858,"('AZ', 'BO', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CP', 'CS')",0.04296606438883716,0.033429057792939365,0.01671452889646968
"(13, 23, 25, 28, 30, 39, 43, 45, 46, 54, 55, 59, 61, 63, 66, 70, 73, 78, 81)",[0.8        0.77714286 0.83908046 0.81034483 0.81609195],0.8085320197044334,"('AO', 'AZ', 'BO', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CP', 'CS')",0.02603607919611673,0.020256954145762007,0.010128477072881004
"(13, 23, 25, 28, 30, 39, 43, 45, 46, 54, 55, 59, 61, 63, 66, 70, 73, 76, 78, 81)",[0.79428571 0.77714286 0.83333333 0.81034483 0.81034483],0.8050903119868635,"('AO', 'AZ', 'BO', 'D_2.0', 'D_4.0', 'I_4.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CN', 'CP', 'CS')",0.024050315354226248,0.018711962413846882,0.009355981206923441
"(13, 23, 28, 30, 39, 42, 43, 45, 46, 49, 54, 55, 59, 61, 63, 66, 70, 73, 76, 78, 81)",[0.76571429 0.77142857 0.85057471 0.79885057 0.82758621],0.8028308702791461,"('AO', 'AZ', 'D_2.0', 'D_4.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CN', 'CP', 'CS')",0.041734918688071464,0.03247118461167778,0.01623559230583889
"(13, 23, 25, 28, 30, 39, 42, 43, 45, 46, 49, 54, 55, 59, 61, 63, 66, 70, 73, 76, 78, 81)",[0.76571429 0.78857143 0.84482759 0.8045977  0.79885057],0.8005123152709361,"('AO', 'AZ', 'BO', 'D_2.0', 'D_4.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'BR', 'BS', 'BW', 'BY', 'CA', 'CD', 'CH', 'CK', 'CN', 'CP', 'CS')",0.03320323467959739,0.025833244603738058,0.012916622301869027
