feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(54,)",[0.70285714 0.74857143 0.72988506 0.77586207 0.72413793],0.7362627257799672,"('0',)",0.03160472828075509,0.024589552318922563,0.01229477615946128
"(45, 54)",[0.72571429 0.72571429 0.74712644 0.77586207 0.70114943],0.7351133004926109,"('AA_1.0', '0')",0.032183671002980765,0.025039989425401227,0.012519994712700612
"(5, 45, 54)",[0.72       0.77714286 0.75862069 0.76436782 0.7183908 ],0.7477044334975369,"('M', 'AA_1.0', '0')",0.030901976828445983,0.024042787814249504,0.012021393907124752
"(5, 45, 47, 54)",[0.72       0.76571429 0.76436782 0.77586207 0.72413793],0.7500164203612479,"('M', 'AA_1.0', 'AA_3.0', '0')",0.029818000219882675,0.02319941718653915,0.011599708593269573
"(5, 11, 45, 47, 54)",[0.72       0.77714286 0.77011494 0.79310345 0.72988506],0.7580492610837439,"('M', 'AE', 'AA_1.0', 'AA_3.0', '0')",0.036262112708176183,0.02821315563011262,0.014106577815056308
"(5, 11, 15, 45, 47, 54)",[0.72       0.77714286 0.7816092  0.77586207 0.7183908 ],0.754600985221675,"('M', 'AE', 'AR', 'AA_1.0', 'AA_3.0', '0')",0.03724248127533291,0.028975915681702956,0.01448795784085148
"(3, 5, 11, 15, 45, 47, 54)",[0.72       0.78285714 0.78735632 0.77586207 0.72413793],0.7580426929392446,"('H', 'M', 'AE', 'AR', 'AA_1.0', 'AA_3.0', '0')",0.0380817418427338,0.02962888891558073,0.014814444457790362
"(4, 5, 11, 13, 15, 45, 47, 54)",[0.72       0.78285714 0.7816092  0.79885057 0.74712644],0.7660886699507389,"('L', 'M', 'AE', 'AO', 'AR', 'AA_1.0', 'AA_3.0', '0')",0.03671139432749202,0.028562711993513602,0.014281355996756801
"(4, 5, 11, 13, 15, 29, 45, 47, 54)",[0.72       0.78857143 0.7816092  0.8045977  0.74712644],0.7683809523809524,"('L', 'M', 'AE', 'AO', 'AR', 'D_3.0', 'AA_1.0', 'AA_3.0', '0')",0.039350753653150425,0.03061622321658693,0.015308111608293463
"(4, 5, 11, 13, 15, 29, 36, 45, 47, 54)",[0.71428571 0.78857143 0.77586207 0.79885057 0.74137931],0.7637898193760263,"('L', 'M', 'AE', 'AO', 'AR', 'D_3.0', 'I_1.0', 'AA_1.0', 'AA_3.0', '0')",0.04040808808595643,0.031438865326435826,0.015719432663217913
"(4, 5, 11, 13, 15, 29, 36, 45, 47, 53, 54)",[0.72       0.79428571 0.7816092  0.79885057 0.72988506],0.7649261083743842,"('L', 'M', 'AE', 'AO', 'AR', 'D_3.0', 'I_1.0', 'AA_1.0', 'AA_3.0', 'AB_4.0', '0')",0.042773013115255214,0.033278857343506336,0.016639428671753168
"(0, 4, 5, 6, 11, 13, 15, 29, 45, 47, 53, 54)",[0.72571429 0.77142857 0.77586207 0.8045977  0.74137931],0.7637963875205255,"('B', 'L', 'M', 'N', 'AE', 'AO', 'AR', 'D_3.0', 'AA_1.0', 'AA_3.0', 'AB_4.0', '0')",0.03553242439565747,0.02764543333306281,0.013822716666531405
"(0, 4, 5, 6, 11, 13, 15, 29, 39, 45, 47, 53, 54)",[0.72571429 0.76571429 0.7816092  0.8045977  0.73563218],0.7626535303776684,"('B', 'L', 'M', 'N', 'AE', 'AO', 'AR', 'D_3.0', 'I_4.0', 'AA_1.0', 'AA_3.0', 'AB_4.0', '0')",0.03735162389103295,0.029060832344650962,0.014530416172325481
"(0, 4, 5, 6, 11, 13, 15, 29, 34, 41, 45, 47, 53, 54)",[0.73142857 0.76571429 0.7816092  0.8045977  0.74712644],0.7660952380952382,"('B', 'L', 'M', 'N', 'AE', 'AO', 'AR', 'D_3.0', 'E_3.0', 'J_2.0', 'AA_1.0', 'AA_3.0', 'AB_4.0', '0')",0.03294389354052163,0.02563146838686624,0.01281573419343312
"(0, 4, 5, 6, 11, 13, 15, 29, 34, 39, 41, 45, 47, 53, 54)",[0.72       0.78285714 0.77011494 0.79885057 0.74712644],0.7637898193760262,"('B', 'L', 'M', 'N', 'AE', 'AO', 'AR', 'D_3.0', 'E_3.0', 'I_4.0', 'J_2.0', 'AA_1.0', 'AA_3.0', 'AB_4.0', '0')",0.0355635290348556,0.027669633799085783,0.013834816899542891
