feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(54,)",[0.71428571 0.70714286 0.69784173 0.71223022 0.67625899],0.7015519013360739,"('0',)",0.017818154446890822,0.013863129500950628,0.006931564750475314
"(8, 54)",[0.71428571 0.72142857 0.70503597 0.71223022 0.69064748],0.7087255909558068,"('U', '0')",0.013418762156146246,0.01044025283693573,0.005220126418467865
"(8, 29, 54)",[0.71428571 0.72857143 0.71942446 0.71223022 0.69064748],0.7130318602261049,"('U', 'D_3.0', '0')",0.01611099419178527,0.012534900824633714,0.006267450412316857
"(8, 25, 29, 54)",[0.71428571 0.72857143 0.71942446 0.71223022 0.70503597],0.7159095580678315,"('U', 'BO', 'D_3.0', '0')",0.01007272614897075,0.0078369231475126,0.003918461573756299
"(8, 22, 25, 29, 54)",[0.72142857 0.73571429 0.71942446 0.71223022 0.70503597],0.7187667009249743,"('U', 'AY', 'BO', 'D_3.0', '0')",0.013182817465574356,0.010256679851854182,0.00512833992592709
"(8, 22, 25, 26, 29, 54)",[0.72857143 0.71428571 0.70503597 0.72661871 0.72661871],0.7202261048304213,"('U', 'AY', 'BO', 'BP', 'D_3.0', '0')",0.01174341695385937,0.009136777352573653,0.0045683886762868265
"(8, 22, 25, 26, 29, 45, 54)",[0.72857143 0.70714286 0.71942446 0.72661871 0.73381295],0.7231140801644399,"('U', 'AY', 'BO', 'BP', 'D_3.0', 'AA_1.0', '0')",0.011852920706060947,0.00922197499198885,0.004610987495994425
"(6, 8, 22, 25, 26, 29, 45, 54)",[0.72857143 0.70714286 0.72661871 0.73381295 0.73381295],0.7259917780061664,"('N', 'U', 'AY', 'BO', 'BP', 'D_3.0', 'AA_1.0', '0')",0.01265435200294878,0.009845515768222807,0.004922757884111404
"(6, 8, 13, 22, 25, 26, 29, 45, 54)",[0.72857143 0.72142857 0.71942446 0.74100719 0.74100719],0.7302877697841726,"('N', 'U', 'AO', 'AY', 'BO', 'BP', 'D_3.0', 'AA_1.0', '0')",0.011908965418950472,0.00926557968264,0.00463278984132
"(6, 8, 13, 22, 25, 26, 29, 33, 45, 54)",[0.72857143 0.72857143 0.72661871 0.74820144 0.74100719],0.7345940390544706,"('N', 'U', 'AO', 'AY', 'BO', 'BP', 'D_3.0', 'E_2.0', 'AA_1.0', '0')",0.010942944768940964,0.008513982798036097,0.0042569913990180485
"(6, 8, 13, 22, 25, 26, 29, 33, 39, 45, 54)",[0.72857143 0.72857143 0.72661871 0.74820144 0.74820144],0.736032887975334,"('N', 'U', 'AO', 'AY', 'BO', 'BP', 'D_3.0', 'E_2.0', 'I_4.0', 'AA_1.0', '0')",0.012802953791219401,0.009961133007988508,0.004980566503994254
