feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(55,)",[0.73611111 0.77777778 0.73239437 0.83098592 0.61971831],0.7393974960876368,"('CS',)",0.08949988612414322,0.06963395200987475,0.03481697600493737
"(55, 57)",[0.68055556 0.81944444 0.76056338 0.83098592 0.71830986],0.7619718309859155,"('CS', 'CU')",0.07406445078573361,0.057624658924121906,0.028812329462060953
"(54, 55, 57)",[0.70833333 0.83333333 0.77464789 0.84507042 0.71830986],0.7759389671361503,"('CR', 'CS', 'CU')",0.07263104739253352,0.05650942238678779,0.028254711193393896
"(23, 54, 55, 57)",[0.68055556 0.83333333 0.77464789 0.85915493 0.73239437],0.776017214397496,"('AZ', 'CR', 'CS', 'CU')",0.08372123683280265,0.06513796654150265,0.03256898327075132
"(23, 49, 54, 55, 57)",[0.68055556 0.84722222 0.77464789 0.84507042 0.74647887],0.7787949921752738,"('AZ', 'AB_0.0', 'CR', 'CS', 'CU')",0.08085539387149734,0.06290824335550255,0.031454121677751266
"(23, 42, 49, 54, 55, 57)",[0.72222222 0.83333333 0.76056338 0.84507042 0.74647887],0.7815336463223788,"('AZ', 'J_3.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06272052093087871,0.04879869610646348,0.02439934805323174
"(21, 23, 39, 49, 54, 55, 57)",[0.70833333 0.84722222 0.76056338 0.84507042 0.76056338],0.7843505477308295,"('AX', 'AZ', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.0693343302049997,0.05394446441456828,0.02697223220728414
"(21, 23, 24, 39, 49, 54, 55, 57)",[0.73611111 0.81944444 0.78873239 0.85915493 0.73239437],0.78716744913928,"('AX', 'AZ', 'BD', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06252723303632149,0.04864831155787291,0.02432415577893645
"(21, 23, 24, 25, 39, 49, 54, 55, 57)",[0.72222222 0.84722222 0.77464789 0.84507042 0.73239437],0.7843114241001565,"('AX', 'AZ', 'BD', 'BO', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.0687198269119492,0.05346635997587844,0.02673317998793922
"(21, 23, 24, 25, 35, 39, 49, 54, 55, 57)",[0.68055556 0.86111111 0.8028169  0.84507042 0.76056338],0.7900234741784038,"('AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.08349132032667035,0.06495908368871234,0.03247954184435616
"(21, 23, 24, 25, 35, 38, 39, 49, 54, 55, 57)",[0.73611111 0.81944444 0.78873239 0.84507042 0.73239437],0.7843505477308295,"('AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.057376899345986575,0.04464117697302926,0.022320588486514626
"(21, 23, 24, 25, 35, 37, 38, 39, 49, 54, 55, 57)",[0.70833333 0.81944444 0.8028169  0.84507042 0.76056338],0.7872456964006259,"('AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_2.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06180639899787797,0.04808747818686239,0.024043739093431195
"(0, 21, 23, 24, 25, 35, 37, 38, 39, 49, 54, 55, 57)",[0.72222222 0.81944444 0.81690141 0.83098592 0.71830986],0.7815727699530517,"('B', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_2.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.0646457093329592,0.05029655808825964,0.02514827904412982
"(0, 10, 21, 23, 24, 25, 35, 37, 38, 39, 49, 54, 55, 57)",[0.68055556 0.83333333 0.78873239 0.84507042 0.74647887],0.7788341158059467,"('B', 'AD', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_2.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.07746141608674455,0.060267613334384504,0.030133806667192252
"(0, 10, 21, 23, 24, 25, 35, 36, 37, 38, 39, 49, 54, 55, 57)",[0.70833333 0.83333333 0.78873239 0.84507042 0.76056338],0.787206572769953,"('B', 'AD', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06403039919767066,0.04981782589889752,0.024908912949448758
"(0, 10, 12, 21, 23, 24, 25, 35, 36, 37, 38, 39, 49, 54, 55, 57)",[0.72222222 0.81944444 0.76056338 0.84507042 0.76056338],0.7815727699530516,"('B', 'AD', 'AN', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.05710943143531004,0.0444330778517589,0.022216538925879447
"(0, 10, 12, 21, 23, 24, 25, 35, 36, 37, 38, 39, 40, 49, 54, 55, 57)",[0.73611111 0.84722222 0.78873239 0.84507042 0.73239437],0.789906103286385,"('B', 'AD', 'AN', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06434448829582873,0.05006219788790348,0.02503109894395174
"(0, 10, 12, 18, 21, 23, 24, 25, 36, 37, 38, 39, 40, 46, 49, 54, 55, 57)",[0.73611111 0.84722222 0.74647887 0.83098592 0.76056338],0.7842723004694836,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'AA_2.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.058772548502571256,0.045727039431641074,0.022863519715820534
"(0, 10, 12, 18, 21, 23, 24, 25, 35, 36, 37, 38, 39, 40, 46, 49, 54, 55, 57)",[0.73611111 0.81944444 0.74647887 0.84507042 0.76056338],0.7815336463223787,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'AA_2.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.05515065291054426,0.04290908161334671,0.02145454080667335
"(0, 10, 12, 18, 21, 23, 24, 25, 28, 35, 36, 37, 38, 39, 40, 46, 49, 54, 55, 57)",[0.72222222 0.84722222 0.76056338 0.83098592 0.74647887],0.7814945226917058,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'D_2.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'AA_2.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.06282678307495744,0.04888137166463102,0.02444068583231551
"(0, 10, 12, 18, 21, 23, 24, 25, 28, 35, 36, 37, 38, 39, 40, 44, 46, 49, 54, 55, 57)",[0.72222222 0.81944444 0.77464789 0.84507042 0.76056338],0.7843896713615022,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'D_2.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_5.0', 'AA_2.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.05584253113241908,0.04344738637534251,0.021723693187671256
"(0, 10, 12, 18, 21, 23, 24, 25, 28, 35, 36, 37, 38, 39, 40, 44, 46, 48, 49, 54, 55, 57)",[0.70833333 0.86111111 0.74647887 0.84507042 0.77464789],0.7871283255086072,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'D_2.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_5.0', 'AA_2.0', 'AA_4.0', 'AB_0.0', 'CR', 'CS', 'CU')",0.07460785370604946,0.058047444857310844,0.029023722428655422
"(0, 10, 12, 18, 21, 23, 24, 25, 28, 35, 36, 37, 39, 40, 43, 44, 46, 48, 49, 54, 55, 56, 57)",[0.73611111 0.83333333 0.8028169  0.84507042 0.74647887],0.7927621283255086,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'D_2.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_4.0', 'J_1.0', 'J_4.0', 'J_5.0', 'AA_2.0', 'AA_4.0', 'AB_0.0', 'CR', 'CS', 'CT', 'CU')",0.05700306877400637,0.04435032408777545,0.022175162043887725
"(0, 10, 12, 18, 21, 23, 24, 25, 28, 35, 36, 37, 38, 39, 40, 43, 44, 46, 48, 49, 54, 55, 56, 57)",[0.73611111 0.875      0.76056338 0.85915493 0.73239437],0.7926447574334897,"('B', 'AD', 'AN', 'AU', 'AX', 'AZ', 'BD', 'BO', 'D_2.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_4.0', 'J_5.0', 'AA_2.0', 'AA_4.0', 'AB_0.0', 'CR', 'CS', 'CT', 'CU')",0.07935850050589544,0.06174360946267678,0.03087180473133839
"(0, 6, 10, 12, 18, 23, 24, 25, 28, 34, 35, 36, 37, 38, 40, 43, 44, 46, 47, 48, 49, 54, 55, 56, 57)",[0.73611111 0.83333333 0.78873239 0.85915493 0.74647887],0.7927621283255086,"('B', 'N', 'AD', 'AN', 'AU', 'AZ', 'BD', 'BO', 'D_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_4.0', 'J_5.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'CR', 'CS', 'CT', 'CU')",0.06143029877461234,0.04779485943580102,0.023897429717900508
