feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(55,)",[0.80714286 0.77857143 0.73381295 0.82014388 0.75539568],0.7790133607399794,"('CS',)",0.040984683732547614,0.031887476328332984,0.015943738164166492
"(46, 55)",[0.80714286 0.78571429 0.74100719 0.82733813 0.76258993],0.7847584789311408,"('AA_2.0', 'CS')",0.03949262168124931,0.030726601362171056,0.015363300681085526
"(45, 46, 55)",[0.81428571 0.78571429 0.76258993 0.82733813 0.76258993],0.7905035971223022,"('AA_1.0', 'AA_2.0', 'CS')",0.034023353524792,0.026471324927432125,0.01323566246371606
"(6, 45, 46, 55)",[0.81428571 0.78571429 0.75539568 0.83453237 0.76978417],0.7919424460431655,"('N', 'AA_1.0', 'AA_2.0', 'CS')",0.03715610666677624,0.028908713301816526,0.014454356650908263
"(6, 14, 45, 46, 55)",[0.82142857 0.78571429 0.76258993 0.84172662 0.75539568],0.7933710174717369,"('N', 'AP', 'AA_1.0', 'AA_2.0', 'CS')",0.042913003635702794,0.03338777472435264,0.01669388736217632
"(6, 14, 42, 45, 46, 55)",[0.82142857 0.78571429 0.76258993 0.84172662 0.76258993],0.7948098663926003,"('N', 'AP', 'J_3.0', 'AA_1.0', 'AA_2.0', 'CS')",0.040922805212460646,0.031839332737488624,0.01591966636874431
"(0, 6, 14, 42, 45, 46, 55)",[0.82142857 0.78571429 0.76258993 0.84172662 0.76258993],0.7948098663926003,"('B', 'N', 'AP', 'J_3.0', 'AA_1.0', 'AA_2.0', 'CS')",0.040922805212460646,0.031839332737488624,0.01591966636874431
"(0, 6, 14, 30, 42, 45, 46, 55)",[0.82142857 0.78571429 0.76258993 0.84172662 0.76258993],0.7948098663926003,"('B', 'N', 'AP', 'D_4.0', 'J_3.0', 'AA_1.0', 'AA_2.0', 'CS')",0.040922805212460646,0.031839332737488624,0.01591966636874431
"(0, 6, 14, 30, 42, 45, 46, 51, 55)",[0.81428571 0.78571429 0.76978417 0.84172662 0.76258993],0.7948201438848922,"('B', 'N', 'AP', 'D_4.0', 'J_3.0', 'AA_1.0', 'AA_2.0', 'AB_2.0', 'CS')",0.03781302784563362,0.029419820296739122,0.01470991014836956
"(0, 6, 14, 30, 42, 45, 46, 49, 51, 55)",[0.81428571 0.78571429 0.76978417 0.83453237 0.76258993],0.7933812949640289,"('B', 'N', 'AP', 'D_4.0', 'J_3.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_2.0', 'CS')",0.034935907357788225,0.027181322811956187,0.013590661405978094
"(0, 6, 14, 30, 42, 44, 45, 46, 49, 51, 55)",[0.81428571 0.78571429 0.76978417 0.84172662 0.76978417],0.7962589928057555,"('B', 'N', 'AP', 'D_4.0', 'J_3.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'AB_2.0', 'CS')",0.03592056198835882,0.027947417566494184,0.01397370878324709
