Modelo,Acurácia,Parâmetros
Random Forest,0.7543859649122807,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 26, 'max_features': 23, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': 16, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}"
SVM,0.6982456140350878,"{'C': 1000, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': -1, 'probability': False, 'random_state': 13, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
MLP,0.656140350877193,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (434,), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'max_fun': 15000, 'max_iter': 589, 'momentum': 0.1, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 13, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
XGBoost,0.7614035087719297,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5555555555555556, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.3333333333333333, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0001, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 41, 'n_jobs': 16, 'num_parallel_tree': None, 'random_state': 13, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
KNN,0.6280701754385964,"{'algorithm': 'ball_tree', 'leaf_size': 27, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': 16, 'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}"
ADA,0.7403508771929824,"{'algorithm': 'SAMME', 'base_estimator': 'deprecated', 'estimator': None, 'learning_rate': 0.24213793103448275, 'n_estimators': 143, 'random_state': 13}"
NVB,0.5859649122807017,"{'priors': None, 'var_smoothing': 0.16949152552203392}"
LR,0.7017543859649122,"{'C': 0.07235714285714286, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.7777777777777777, 'max_iter': 1185, 'multi_class': 'auto', 'n_jobs': 16, 'penalty': 'elasticnet', 'random_state': 13, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
DT,0.719298245614035,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 7, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 0.2163157894736842, 'min_samples_split': 0.32263157894736844, 'min_weight_fraction_leaf': 0.0, 'random_state': 13, 'splitter': 'best'}"
EXT,0.7684210526315789,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 21, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 38, 'n_jobs': 16, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}"
