feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.71428571 0.65       0.6618705  0.69784173 0.65467626],0.6757348406988695,"('B', 'C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.03288360985077027,0.025584565628204613,0.012792282814102305
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.72142857 0.67857143 0.6618705  0.71223022 0.6618705 ],0.6871942446043164,"('B', 'C', 'F', 'H', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.0322898522228548,0.02512260202178825,0.012561301010894123
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.71428571 0.65714286 0.67625899 0.71942446 0.66906475],0.687235354573484,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BD', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.03212749312813351,0.02499628113022301,0.012498140565111506
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.72142857 0.65714286 0.68345324 0.71942446 0.66906475],0.6901027749229187,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'I_4.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.03358638979521532,0.026131352300727405,0.0130656761503637
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.72142857 0.65714286 0.69064748 0.71942446 0.6618705 ],0.6901027749229188,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AC', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.035080582543693874,0.02729388502168235,0.013646942510841175
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.71428571 0.66428571 0.69064748 0.72661871 0.6618705 ],0.6915416238437821,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AD', 'AE', 'AN', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.033376779185605235,0.02596826812528942,0.01298413406264471
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)",[0.71428571 0.66428571 0.69064748 0.72661871 0.66906475],0.6929804727646454,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AD', 'AE', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_1.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.03141077389557715,0.02443864921798619,0.012219324608993094
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54)",[0.71428571 0.67142857 0.69064748 0.72661871 0.66906475],0.6944090441932168,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AD', 'AE', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_0.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.02940552980341694,0.022878501189553088,0.011439250594776544
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54)",[0.71428571 0.67142857 0.69064748 0.72661871 0.66906475],0.6944090441932168,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AD', 'AE', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'J_5.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.02940552980341694,0.022878501189553088,0.011439250594776544
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 51, 52, 53, 54)",[0.71428571 0.67142857 0.69064748 0.72661871 0.66906475],0.6944090441932168,"('B', 'C', 'F', 'L', 'M', 'N', 'O', 'U', 'AD', 'AE', 'AO', 'AP', 'AR', 'AS', 'AT', 'AU', 'AV', 'AX', 'AY', 'AZ', 'BO', 'BP', 'D_1.0', 'D_2.0', 'D_3.0', 'D_4.0', 'D_5.0', 'E_1.0', 'E_2.0', 'E_3.0', 'E_4.0', 'I_1.0', 'I_2.0', 'I_3.0', 'J_1.0', 'J_2.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AA_4.0', 'AB_2.0', 'AB_3.0', 'AB_4.0', 'BR')",0.02940552980341694,0.022878501189553088,0.011439250594776544
