feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(81,)",[0.80714286 0.72857143 0.73381295 0.82014388 0.75539568],0.7690133607399794,"('CS',)",0.04852972899655644,0.03775777787371781,0.018878888936858903
"(75, 81)",[0.81428571 0.77857143 0.75539568 0.83453237 0.76978417],0.7905138746145941,"('CM', 'CS')",0.03772874482642013,0.029354245244419853,0.014677122622209925
"(23, 75, 81)",[0.80714286 0.75714286 0.76978417 0.84172662 0.77697842],0.7905549845837616,"('AZ', 'CM', 'CS')",0.03909403584204542,0.030416488037999435,0.015208244018999716
"(23, 46, 75, 81)",[0.80714286 0.75714286 0.75539568 0.86330935 0.79136691],0.7948715313463515,"('AZ', 'AA_2.0', 'CM', 'CS')",0.05085725348422395,0.03956867099877986,0.01978433549938993
"(23, 43, 46, 75, 81)",[0.80714286 0.75714286 0.75539568 0.86330935 0.78417266],0.7934326824254881,"('AZ', 'J_4.0', 'AA_2.0', 'CM', 'CS')",0.051154677382029765,0.03980007689574014,0.019900038447870066
"(23, 43, 45, 46, 75, 81)",[0.81428571 0.77142857 0.75539568 0.84892086 0.78417266],0.794840698869476,"('AZ', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CS')",0.04270809864246497,0.03322835167831753,0.016614175839158765
"(23, 34, 43, 45, 46, 75, 81)",[0.82142857 0.76428571 0.76978417 0.84892086 0.77697842],0.7962795477903392,"('AZ', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CS')",0.04263496319591097,0.033171449816247034,0.016585724908123513
"(23, 31, 34, 43, 45, 46, 75, 81)",[0.82857143 0.75       0.77697842 0.85611511 0.75539568],0.7934121274409044,"('AZ', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CS')",0.05382214572962705,0.041875457892837774,0.020937728946418883
"(23, 29, 31, 34, 43, 45, 46, 75, 81)",[0.82142857 0.75714286 0.76978417 0.82733813 0.79136691],0.7934121274409043,"('AZ', 'D_3.0', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CS')",0.035497389234656375,0.027618174787544393,0.013809087393772195
"(23, 29, 31, 34, 43, 45, 46, 75, 79, 81)",[0.81428571 0.77142857 0.75539568 0.84892086 0.78417266],0.794840698869476,"('AZ', 'D_3.0', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS')",0.04270809864246497,0.03322835167831753,0.016614175839158765
"(23, 29, 31, 34, 43, 45, 46, 75, 79, 81, 83)",[0.77857143 0.82142857 0.77697842 0.84172662 0.79856115],0.803453237410072,"('AZ', 'D_3.0', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.0321678166315951,0.02502765418583807,0.012513827092919034
"(11, 23, 29, 31, 34, 43, 45, 46, 75, 79, 81, 83)",[0.80714286 0.82857143 0.77697842 0.83453237 0.8057554 ],0.8105960945529291,"('AE', 'AZ', 'D_3.0', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.02609845512400819,0.020305484736776847,0.010152742368388422
"(11, 23, 29, 30, 31, 34, 43, 45, 46, 75, 79, 81, 83)",[0.78571429 0.83571429 0.76978417 0.84892086 0.82014388],0.8120554984583762,"('AE', 'AZ', 'D_3.0', 'D_4.0', 'D_5.0', 'E_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.03840822534395803,0.02988290417125077,0.014941452085625384
"(11, 23, 29, 30, 32, 34, 42, 43, 45, 46, 75, 79, 81, 83)",[0.78571429 0.82857143 0.76978417 0.84892086 0.81294964],0.8091880781089416,"('AE', 'AZ', 'D_3.0', 'D_4.0', 'E_1.0', 'E_3.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.03668034075040616,0.028538551255548727,0.014269275627774363
"(11, 23, 29, 30, 32, 34, 38, 42, 43, 45, 46, 75, 79, 81, 83)",[0.79285714 0.81428571 0.77697842 0.84172662 0.81294964],0.8077595066803701,"('AE', 'AZ', 'D_3.0', 'D_4.0', 'E_1.0', 'E_3.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.028117333199299505,0.02187624046727716,0.01093812023363858
"(11, 23, 26, 29, 30, 32, 34, 38, 42, 43, 45, 46, 75, 79, 81, 83)",[0.79285714 0.82857143 0.76978417 0.83453237 0.81294964],0.8077389516957864,"('AE', 'AZ', 'BP', 'D_3.0', 'D_4.0', 'E_1.0', 'E_3.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.030637757270655517,0.02383721602188173,0.011918608010940865
"(1, 11, 23, 26, 29, 30, 32, 34, 38, 42, 43, 45, 46, 75, 79, 81, 83)",[0.78571429 0.81428571 0.78417266 0.83453237 0.79856115],0.803453237410072,"('C', 'AE', 'AZ', 'BP', 'D_3.0', 'D_4.0', 'E_1.0', 'E_3.0', 'I_3.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'CM', 'CQ', 'CS', 'CU')",0.02434327971091513,0.01893989863631292,0.00946994931815646
"(1, 11, 23, 26, 29, 32, 33, 34, 39, 42, 43, 45, 46, 49, 75, 79, 81, 83)",[0.78571429 0.82857143 0.76978417 0.84892086 0.8057554 ],0.8077492291880782,"('C', 'AE', 'AZ', 'BP', 'D_3.0', 'E_1.0', 'E_2.0', 'E_3.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AB_0.0', 'CM', 'CQ', 'CS', 'CU')",0.036623020273913655,0.02849395397747257,0.014246976988736287
"(11, 23, 26, 30, 32, 33, 34, 42, 43, 45, 46, 47, 49, 75, 79, 80, 81, 82, 83)",[0.75714286 0.81428571 0.79136691 0.86330935 0.8057554 ],0.8063720452209662,"('AE', 'AZ', 'BP', 'D_4.0', 'E_1.0', 'E_2.0', 'E_3.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.04435103191863282,0.03450660958301935,0.017253304791509674
"(11, 23, 26, 30, 32, 33, 42, 43, 45, 46, 47, 49, 55, 65, 75, 79, 80, 81, 82, 83)",[0.80714286 0.81428571 0.79856115 0.84892086 0.8057554 ],0.8149331963001029,"('AE', 'AZ', 'BP', 'D_4.0', 'E_1.0', 'E_2.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'BS', 'CC', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.022764864441291197,0.017711837932591006,0.008855918966295503
"(11, 23, 24, 26, 30, 32, 33, 42, 43, 45, 46, 47, 49, 55, 65, 75, 79, 80, 81, 82, 83)",[0.8        0.82857143 0.77697842 0.8705036  0.8057554 ],0.8163617677286743,"('AE', 'AZ', 'BD', 'BP', 'D_4.0', 'E_1.0', 'E_2.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'BS', 'CC', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.040691849182293044,0.0316596410996828,0.015829820549841396
"(11, 23, 24, 26, 30, 32, 33, 39, 42, 43, 45, 46, 47, 49, 55, 65, 75, 79, 80, 81, 82, 83)",[0.79285714 0.83571429 0.76978417 0.8705036  0.8057554 ],0.814922918807811,"('AE', 'AZ', 'BD', 'BP', 'D_4.0', 'E_1.0', 'E_2.0', 'I_4.0', 'J_3.0', 'J_4.0', 'AA_1.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'BS', 'CC', 'CM', 'CQ', 'CR', 'CS', 'CT', 'CU')",0.04500332345581857,0.035014114559437266,0.017507057279718633
