feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(55,)",[0.74857143 0.73714286 0.77586207 0.82758621 0.77586207],0.7730049261083745,"('CS',)",0.04014770945098572,0.0312362819025106,0.015618140951255298
"(46, 55)",[0.75428571 0.73714286 0.77586207 0.83333333 0.7816092 ],0.7764466338259443,"('AA_2.0', 'CS')",0.04184202769465278,0.032554519057643026,0.016277259528821513
"(38, 46, 55)",[0.74857143 0.73714286 0.77586207 0.83333333 0.7816092 ],0.775303776683087,"('I_3.0', 'AA_2.0', 'CS')",0.04293092414511624,0.03340171748949491,0.016700858744747454
"(38, 42, 46, 55)",[0.74857143 0.73714286 0.77586207 0.83333333 0.7816092 ],0.775303776683087,"('I_3.0', 'J_3.0', 'AA_2.0', 'CS')",0.04293092414511624,0.03340171748949491,0.016700858744747454
"(22, 38, 42, 46, 55)",[0.74857143 0.73714286 0.7816092  0.83333333 0.77586207],0.775303776683087,"('AY', 'I_3.0', 'J_3.0', 'AA_2.0', 'CS')",0.04293092414511624,0.03340171748949491,0.016700858744747454
"(22, 37, 38, 42, 46, 55)",[0.74857143 0.74285714 0.77011494 0.83333333 0.77011494],0.7729983579638752,"('AY', 'I_2.0', 'I_3.0', 'J_3.0', 'AA_2.0', 'CS')",0.041298079888486196,0.032131309184750656,0.016065654592375328
"(22, 31, 37, 38, 42, 46, 55)",[0.74285714 0.73714286 0.77586207 0.83333333 0.77011494],0.7718620689655172,"('AY', 'D_5.0', 'I_2.0', 'I_3.0', 'J_3.0', 'AA_2.0', 'CS')",0.04394296006515738,0.03418911581747338,0.01709455790873669
"(2, 22, 31, 37, 39, 42, 46, 55)",[0.74857143 0.75428571 0.7816092  0.83908046 0.77011494],0.7787323481116585,"('F', 'AY', 'D_5.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'CS')",0.041575732231452826,0.03234733214034135,0.016173666070170675
"(2, 22, 34, 37, 39, 42, 46, 49, 55)",[0.76       0.73142857 0.78735632 0.83333333 0.78735632],0.7798949096880131,"('F', 'AY', 'E_3.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'AB_0.0', 'CS')",0.04344132656062322,0.03379882790880693,0.016899413954403465
"(2, 22, 30, 34, 37, 39, 42, 46, 49, 55)",[0.76       0.73142857 0.79310345 0.83333333 0.78735632],0.7810443349753695,"('F', 'AY', 'D_4.0', 'E_3.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'AB_0.0', 'CS')",0.043865872871527906,0.03412913936192433,0.01706456968096216
"(0, 2, 22, 30, 34, 37, 39, 42, 46, 49, 55)",[0.75428571 0.72       0.79885057 0.83908046 0.7816092 ],0.7787651888341542,"('B', 'F', 'AY', 'D_4.0', 'E_3.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'AB_0.0', 'CS')",0.051738459895924196,0.04025427952456072,0.02012713976228036
"(0, 2, 11, 22, 30, 34, 37, 39, 42, 46, 49, 55)",[0.74857143 0.73142857 0.78735632 0.83908046 0.77586207],0.7764597701149425,"('B', 'F', 'AE', 'AY', 'D_4.0', 'E_3.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'AB_0.0', 'CS')",0.04755927688885994,0.03700273316448224,0.018501366582241118
"(0, 2, 11, 22, 30, 34, 37, 39, 42, 46, 49, 54, 55)",[0.76571429 0.74857143 0.79310345 0.83333333 0.77011494],0.7821674876847291,"('B', 'F', 'AE', 'AY', 'D_4.0', 'E_3.0', 'I_2.0', 'I_4.0', 'J_3.0', 'AA_2.0', 'AB_0.0', 'CR', 'CS')",0.03761405961984172,0.029265016257468447,0.014632508128734222
"(0, 2, 6, 7, 11, 22, 30, 37, 39, 46, 47, 49, 54, 55)",[0.75428571 0.74857143 0.81034483 0.83333333 0.8045977 ],0.7902266009852218,"('B', 'F', 'N', 'O', 'AE', 'AY', 'D_4.0', 'I_2.0', 'I_4.0', 'AA_2.0', 'AA_3.0', 'AB_0.0', 'CR', 'CS')",0.04261417912042048,0.03315527909941207,0.016577639549706036
