feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(54,)",[0.63428571 0.67428571 0.72988506 0.71264368 0.68390805],0.6870016420361248,"('BR',)",0.042421359343153324,0.033005258761976644,0.016502629380988322
"(39, 54)",[0.64       0.67428571 0.73563218 0.7183908  0.68965517],0.6915927750410509,"('I_4.0', 'BR')",0.04310118035089968,0.03353418260175731,0.016767091300878657
"(36, 39, 54)",[0.64       0.68       0.74712644 0.72413793 0.68390805],0.6950344827586207,"('I_1.0', 'I_4.0', 'BR')",0.04788190823826784,0.03725375131516892,0.018626875657584457
"(22, 36, 39, 54)",[0.64       0.68       0.74137931 0.72988506 0.68390805],0.6950344827586207,"('AY', 'I_1.0', 'I_4.0', 'BR')",0.047193226323143794,0.03671793338841426,0.01835896669420713
"(22, 29, 36, 39, 54)",[0.63428571 0.67428571 0.73563218 0.73563218 0.6954023 ],0.695047619047619,"('AY', 'D_3.0', 'I_1.0', 'I_4.0', 'BR')",0.049504245278392395,0.03851598464850722,0.019257992324253608
"(22, 29, 34, 36, 39, 54)",[0.64       0.67428571 0.72988506 0.72988506 0.68965517],0.6927422003284073,"('AY', 'D_3.0', 'E_3.0', 'I_1.0', 'I_4.0', 'BR')",0.0441178611345298,0.034325194791409296,0.017162597395704648
"(22, 29, 30, 36, 39, 44, 54)",[0.65714286 0.69142857 0.70689655 0.75287356 0.68965517],0.6995993431855501,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_4.0', 'J_5.0', 'BR')",0.04006972728735062,0.03117560912989209,0.015587804564946045
"(22, 29, 30, 36, 39, 44, 46, 54)",[0.66857143 0.69714286 0.6954023  0.75287356 0.68965517],0.7007290640394088,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_4.0', 'J_5.0', 'AA_2.0', 'BR')",0.035974503879332,0.027989386190254643,0.01399469309512732
"(22, 29, 30, 36, 39, 42, 44, 46, 54)",[0.66285714 0.69714286 0.70114943 0.75287356 0.70114943],0.7030344827586207,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_4.0', 'J_3.0', 'J_5.0', 'AA_2.0', 'BR')",0.0369841014235457,0.028774887378999726,0.014387443689499861
"(22, 29, 30, 36, 38, 39, 42, 44, 46, 54)",[0.66285714 0.69714286 0.68965517 0.75287356 0.68965517],0.6984367816091954,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_3.0', 'I_4.0', 'J_3.0', 'J_5.0', 'AA_2.0', 'BR')",0.03806363153942333,0.029614798484338657,0.014807399242169329
"(22, 29, 30, 36, 38, 39, 42, 44, 46, 49, 54)",[0.66857143 0.69714286 0.68965517 0.75287356 0.67816092],0.6972807881773398,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_3.0', 'I_4.0', 'J_3.0', 'J_5.0', 'AA_2.0', 'AB_0.0', 'BR')",0.037860588292389884,0.02945682394010019,0.014728411970050093
"(22, 29, 30, 36, 38, 39, 42, 44, 46, 49, 50, 54)",[0.66857143 0.70285714 0.6954023  0.70114943 0.70114943],0.6938259441707718,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_3.0', 'I_4.0', 'J_3.0', 'J_5.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'BR')",0.016550881879226216,0.012877148389893293,0.0064385741949466455
"(22, 29, 30, 36, 38, 39, 42, 44, 46, 49, 50, 52, 54)",[0.67428571 0.68571429 0.70689655 0.71264368 0.6954023 ],0.6949885057471265,"('AY', 'D_3.0', 'D_4.0', 'I_1.0', 'I_3.0', 'I_4.0', 'J_3.0', 'J_5.0', 'AA_2.0', 'AB_0.0', 'AB_1.0', 'AB_3.0', 'BR')",0.017886287119485228,0.0139161390349199,0.006958069517459949
