feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(26,)",[0.65714286 0.66285714 0.66666667 0.66666667 0.66091954],0.6628505747126436,"('BP',)",0.004649559847764849,0.0036175155223908103,0.0018087577611954051
"(23, 26)",[0.66285714 0.69714286 0.66666667 0.66091954 0.67241379],0.6719999999999999,"('AZ', 'BP')",0.016926333355080515,0.013169262393428572,0.006584631196714285
"(23, 26, 44)",[0.66857143 0.69714286 0.66666667 0.66091954 0.68965517],0.6765911330049261,"('AZ', 'BP', 'J_5.0')",0.018189950041814756,0.014152399104919793,0.007076199552459896
"(12, 23, 26, 44)",[0.68       0.68       0.70114943 0.68965517 0.70114943],0.6903908045977012,"('AN', 'AZ', 'BP', 'J_5.0')",0.012165869345358616,0.009465459665256283,0.0047327298326281415
"(12, 23, 26, 35, 44)",[0.68       0.68       0.70114943 0.68390805 0.70114943],0.6892413793103449,"('AN', 'AZ', 'BP', 'E_4.0', 'J_5.0')",0.012630607485802603,0.009827041727203792,0.004913520863601896
"(12, 23, 26, 35, 44, 49)",[0.66285714 0.68571429 0.6954023  0.6954023  0.70114943],0.6881050903119869,"('AN', 'AZ', 'BP', 'E_4.0', 'J_5.0', 'AB_0.0')",0.017432904222065847,0.013563391737820459,0.006781695868910228
"(12, 23, 26, 35, 43, 44, 49)",[0.68       0.68571429 0.6954023  0.6954023  0.6954023 ],0.6903842364532019,"('AN', 'AZ', 'BP', 'E_4.0', 'J_4.0', 'J_5.0', 'AB_0.0')",0.008233563135123606,0.006405991840327154,0.003202995920163577
"(12, 23, 26, 35, 37, 40, 44, 49)",[0.68571429 0.69142857 0.70114943 0.68965517 0.70114943],0.6938193760262726,"('AN', 'AZ', 'BP', 'E_4.0', 'I_2.0', 'J_1.0', 'J_5.0', 'AB_0.0')",0.00805146840094317,0.006264315950778164,0.003132157975389082
"(12, 23, 26, 35, 37, 40, 43, 44, 49)",[0.68571429 0.69142857 0.70114943 0.67816092 0.6954023 ],0.6903711001642037,"('AN', 'AZ', 'BP', 'E_4.0', 'I_2.0', 'J_1.0', 'J_4.0', 'J_5.0', 'AB_0.0')",0.010175380080315441,0.007916791393590208,0.003958395696795104
"(12, 23, 26, 31, 35, 37, 40, 43, 44, 49)",[0.68571429 0.69142857 0.70114943 0.68390805 0.70114943],0.6926699507389162,"('AN', 'AZ', 'BP', 'D_5.0', 'E_4.0', 'I_2.0', 'J_1.0', 'J_4.0', 'J_5.0', 'AB_0.0')",0.009453596499661154,0.00735521924648065,0.003677609623240325
"(19, 23, 26, 31, 32, 35, 37, 40, 43, 49, 53)",[0.69714286 0.70857143 0.7183908  0.67241379 0.70114943],0.6995336617405583,"('AV', 'AZ', 'BP', 'D_5.0', 'E_1.0', 'E_4.0', 'I_2.0', 'J_1.0', 'J_4.0', 'AB_0.0', 'AB_4.0')",0.019754105897451916,0.015369365500120838,0.007684682750060418
"(19, 23, 26, 30, 31, 32, 35, 37, 40, 43, 49, 53)",[0.69142857 0.71428571 0.7183908  0.66666667 0.70114943],0.698384236453202,"('AV', 'AZ', 'BP', 'D_4.0', 'D_5.0', 'E_1.0', 'E_4.0', 'I_2.0', 'J_1.0', 'J_4.0', 'AB_0.0', 'AB_4.0')",0.023804972609200205,0.018521077423117205,0.009260538711558602
