feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0,)",[0.65714286 0.65714286 0.66091954 0.66091954 0.65517241],0.6582594417077174,"('B',)",0.002940790101582807,0.0022880346073366827,0.0011440173036683413
"(0, 2)",[0.65714286 0.65714286 0.66091954 0.66091954 0.65517241],0.6582594417077174,"('B', 'F')",0.002940790101582807,0.0022880346073366827,0.0011440173036683413
"(0, 2, 6)",[0.65714286 0.65714286 0.66091954 0.66091954 0.65517241],0.6582594417077174,"('B', 'F', 'N')",0.002940790101582807,0.0022880346073366827,0.0011440173036683413
"(0, 2, 6, 7)",[0.65142857 0.64571429 0.67816092 0.67241379 0.66666667],0.6628768472906403,"('B', 'F', 'N', 'O')",0.01589334301112777,0.012365560811756214,0.006182780405878107
"(0, 2, 6, 7, 12)",[0.65142857 0.65142857 0.67816092 0.67816092 0.66666667],0.6651691297208538,"('B', 'F', 'N', 'O', 'AN')",0.015395850778057368,0.011978494952981176,0.005989247476490587
"(0, 2, 6, 7, 12, 17)",[0.65714286 0.64       0.67816092 0.67816092 0.67241379],0.665175697865353,"('B', 'F', 'N', 'O', 'AN', 'AT')",0.01895936358197196,0.01475102897866889,0.007375514489334445
"(0, 2, 6, 7, 12, 17, 41)",[0.66857143 0.65142857 0.67816092 0.67241379 0.65517241],0.6651494252873563,"('B', 'F', 'N', 'O', 'AN', 'AT', 'J_2.0')",0.013127379282095555,0.010213547061690373,0.005106773530845186
"(0, 2, 6, 7, 12, 17, 30, 41)",[0.66857143 0.65142857 0.67816092 0.66666667 0.67241379],0.667448275862069,"('B', 'F', 'N', 'O', 'AN', 'AT', 'D_4.0', 'J_2.0')",0.011466068844539608,0.008920991101096044,0.004460495550548022
"(0, 2, 6, 7, 12, 17, 30, 35, 41)",[0.66857143 0.65142857 0.67816092 0.67816092 0.65517241],0.6662988505747126,"('B', 'F', 'N', 'O', 'AN', 'AT', 'D_4.0', 'E_4.0', 'J_2.0')",0.014444574521213754,0.011238369707175835,0.0056191848535879175
"(0, 2, 6, 7, 12, 17, 28, 30, 35, 41)",[0.66285714 0.65142857 0.68390805 0.67816092 0.66091954],0.6674548440065682,"('B', 'F', 'N', 'O', 'AN', 'AT', 'D_2.0', 'D_4.0', 'E_4.0', 'J_2.0')",0.01527300303519884,0.011882915235495652,0.005941457617747826
"(0, 2, 6, 7, 12, 17, 28, 30, 35, 41, 46)",[0.66857143 0.65142857 0.67241379 0.66666667 0.64942529],0.6617011494252873,"('B', 'F', 'N', 'O', 'AN', 'AT', 'D_2.0', 'D_4.0', 'E_4.0', 'J_2.0', 'AA_2.0')",0.012095953066397316,0.009411062424938601,0.004705531212469301
"(0, 2, 6, 7, 12, 17, 24, 28, 30, 35, 41, 46)",[0.66285714 0.65142857 0.67816092 0.65517241 0.67241379],0.6640065681444992,"('B', 'F', 'N', 'O', 'AN', 'AT', 'BD', 'D_2.0', 'D_4.0', 'E_4.0', 'J_2.0', 'AA_2.0')",0.012962929080519273,0.010085599217950178,0.005042799608975089
"(0, 2, 6, 7, 12, 17, 24, 28, 30, 35, 41, 46, 49)",[0.65714286 0.65142857 0.67816092 0.67241379 0.67241379],0.6663119868637111,"('B', 'F', 'N', 'O', 'AN', 'AT', 'BD', 'D_2.0', 'D_4.0', 'E_4.0', 'J_2.0', 'AA_2.0', 'AB_0.0')",0.013113120728502226,0.010202453422584832,0.005101226711292416
"(0, 2, 6, 7, 9, 12, 17, 24, 30, 34, 35, 41, 46, 49)",[0.66857143 0.65142857 0.67816092 0.66666667 0.67816092],0.6685977011494253,"('B', 'F', 'N', 'O', 'AC', 'AN', 'AT', 'BD', 'D_4.0', 'E_3.0', 'E_4.0', 'J_2.0', 'AA_2.0', 'AB_0.0')",0.012611826893723086,0.00981242978852749,0.0049062148942637445
"(0, 2, 6, 7, 9, 12, 17, 24, 30, 34, 35, 41, 46, 47, 49)",[0.65142857 0.64571429 0.67241379 0.66666667 0.67816092],0.6628768472906403,"('B', 'F', 'N', 'O', 'AC', 'AN', 'AT', 'BD', 'D_4.0', 'E_3.0', 'E_4.0', 'J_2.0', 'AA_2.0', 'AA_3.0', 'AB_0.0')",0.01589334301112777,0.012365560811756214,0.006182780405878107
"(0, 2, 6, 7, 12, 17, 23, 24, 30, 31, 34, 35, 41, 43, 46, 49)",[0.66857143 0.66285714 0.67241379 0.65517241 0.6954023 ],0.6708834154351396,"('B', 'F', 'N', 'O', 'AN', 'AT', 'AZ', 'BD', 'D_4.0', 'D_5.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_4.0', 'AA_2.0', 'AB_0.0')",0.01743566753969685,0.013565541692816362,0.00678277084640818
"(0, 2, 6, 7, 12, 17, 23, 24, 25, 30, 31, 34, 35, 41, 43, 46, 49)",[0.68       0.65714286 0.68965517 0.64367816 0.6954023 ],0.673175697865353,"('B', 'F', 'N', 'O', 'AN', 'AT', 'AZ', 'BD', 'BO', 'D_4.0', 'D_5.0', 'E_3.0', 'E_4.0', 'J_2.0', 'J_4.0', 'AA_2.0', 'AB_0.0')",0.02531287476452757,0.019694276528354142,0.00984713826417707
